Species	Specimen_ID	Soma_Volume	Soma_Surface_Area	Soma_Radius
Human	571735073	5198.78505880097	1451.2827476972166	10.7466
Human	526714733	1086.6790585622837	511.153873700469	6.3778
Human	613468354	1080.0475936413527	509.07220665599203	6.3648
Human	569821470	1393.5992355700407	603.359364242643	6.9292
Human	526734407	1819.971183565982	720.8758318851263	7.574
Human	611598198	697.1380748303051	380.2156536543132	5.5006
Human	526800653	1971.938747786887	760.4658889552475	7.7792
Human	595562635	434.5874866513536	277.4612058043501	4.6989
Human	596020931	2141.5255475727895	803.4637689271481	7.9961
Human	561435279	822.5363347851663	424.54218642135766	5.8124
Human	601958555	2593.1969427423437	912.7975346396761	8.5228
